Gender,FSIQ,VIQ,PIQ,Weight,Height,MRI_Count,class,major
Female,133,132,124,118,64.5,816932,F,STEM
Male,140,150,124,,72.5,1001121,S,Business
Male,139,123,150,143,73.3,1038437,J,Art
Male,133,129,128,172,68.8,965353,Sr,STEM
Female,137,132,134,147,65,951545,S,Business
Female,99,90,110,146,69,928799,S,Art
Female,138,136,131,138,64.5,991305,F,STEM
Female,92,90,98,175,66,854258,J,Business
Male,89,93,84,134,66.3,904858,J,Art
Male,133,114,147,172,68.8,955466,J,STEM
Female,132,129,124,118,64.5,833868,F,Business
Male,141,150,128,151,70,1079549,S,Art
Male,135,129,124,155,69,924059,J,STEM
Female,140,120,147,155,70.5,856472,Sr,Business
Female,96,100,90,146,66,878897,F,Art
Female,83,71,96,135,68,865363,F,STEM
Female,132,132,120,127,68.5,852244,F,Business
Male,100,96,102,178,73.5,945088,S,Art
Female,101,112,84,136,66.3,808020,J,STEM
Male,80,77,86,180,70,889083,Sr,Business
Male,83,83,86,,,892420,J,Art
Male,97,107,84,186,76.5,905940,Sr,STEM
Female,135,129,134,122,62,790619,Sr,Business
Male,139,145,128,132,68,955003,S,Art
Female,91,86,102,114,63,831772,F,STEM
Male,141,145,131,171,72,935494,J,Business
Female,85,90,84,140,68,798612,Sr,Art
Male,103,96,110,187,77,1062462,J,STEM
Female,77,83,72,106,63,793549,Sr,Business
Female,130,126,124,159,66.5,866662,Sr,Art
Female,133,126,132,127,62.5,857782,S,STEM
Male,144,145,137,191,67,949589,F,Business
Male,103,96,110,192,75.5,997925,Sr,Art
Male,90,96,86,181,69,879987,Sr,STEM
Female,83,90,81,143,66.5,834344,S,Business
Female,133,129,128,153,66.5,948066,F,Art
Male,140,150,124,144,70.5,949395,S,STEM
Female,88,86,94,139,64.5,893983,S,Business
Male,81,90,74,148,74,930016,Sr,Art
Male,89,91,89,179,75.5,935863,F,STEM